day,activity,transport,stay
0,【到达日】飞抵帕尔马，前往马略卡岛,✈️ 国际航班,马略卡岛
1,帕尔马：教堂、海滩,🚶 步行,帕尔马
2,北部山区：瓦尔德莫萨,🚗 自驾,帕尔马
3,【跨城大交通】全天移动及办理入住,🚆/✈️ 帕尔马→马德里(2.33h飞机（1.33h飞行 + 1.0h安检）) → 马德里→特内里费岛(3.83h飞机（2.83h飞行 + 1.0h安检）),特内里费岛
4,泰德峰：登山/观星、云海,🚗 自驾,特内里费岛
5,Siam水上乐园、观鲸,🚗 自驾,特内里费岛
6,南部海滩、黑沙滩,🚗 自驾,特内里费岛
7,【跨城大交通】全天移动及办理入住,🚆/✈️ 特内里费岛→慕尼黑(5.92h飞机（4.92h飞行 + 1.0h安检）) → 慕尼黑→Bad Ischl(2.00h自驾),奥地利湖区
8,Bad Ischl → 戈绍湖、哈尔施塔特游览,🚗 自驾,Bad Ischl
9,Bad Ischl → 圣沃尔夫冈（1h自驾）→ 游船、小镇漫步 → 返回 Bad Ischl,🚗 自驾,Bad Ischl
10,Bad Ischl 查漏补缺，根据下一站选择出发方向,🚗 自驾,Bad Ischl
11,【离开日】从Bad Ischl前往维也纳，飞离,✈️ 国际航班,-
